state,district,year_month,age_0_5,age_5_17,age_18_greater,total_enrolment
Arunachal Pradesh,Lower Dibang Valley,2025-11,7,14,2,23
Arunachal Pradesh,Lower Dibang Valley,2025-12,10,5,0,15
Arunachal Pradesh,Lower Siang,2025-09,6,6,0,12
Arunachal Pradesh,Lower Siang,2025-10,0,4,0,4
Arunachal Pradesh,Lower Siang,2025-11,4,7,3,14
Arunachal Pradesh,Lower Siang,2025-12,0,1,0,1
Arunachal Pradesh,Lower Subansiri,2025-09,19,25,0,44
Arunachal Pradesh,Lower Subansiri,2025-10,6,16,0,22
Arunachal Pradesh,Lower Subansiri,2025-11,18,10,0,28
Arunachal Pradesh,Lower Subansiri,2025-12,7,4,0,11
Arunachal Pradesh,Namsai,2025-09,32,29,0,61
Arunachal Pradesh,Namsai,2025-10,20,15,1,36
Arunachal Pradesh,Namsai,2025-11,22,3,0,25
Arunachal Pradesh,Namsai,2025-12,21,7,0,28
Arunachal Pradesh,Pakke Kessang,2025-09,1,1,0,2
Arunachal Pradesh,Pakke Kessang,2025-10,1,0,0,1
Arunachal Pradesh,Pakke Kessang,2025-11,0,0,1,1
Arunachal Pradesh,Papum Pare,2025-09,72,87,0,159
Arunachal Pradesh,Papum Pare,2025-10,56,66,0,122
Arunachal Pradesh,Papum Pare,2025-11,49,63,5,117
Arunachal Pradesh,Papum Pare,2025-12,24,25,0,49
Arunachal Pradesh,Shi-yomi,2025-09,5,0,0,5
Arunachal Pradesh,Shi-yomi,2025-10,2,5,0,7
Arunachal Pradesh,Shi-yomi,2025-11,1,15,5,21
Arunachal Pradesh,Shi-yomi,2025-12,0,2,0,2
Arunachal Pradesh,Siang,2025-09,31,43,0,74
Arunachal Pradesh,Siang,2025-10,4,11,0,15
Arunachal Pradesh,Siang,2025-11,2,6,4,12
Arunachal Pradesh,Siang,2025-12,2,0,0,2
Arunachal Pradesh,Tawang,2025-09,56,14,0,70
Arunachal Pradesh,Tawang,2025-10,20,10,2,32
Arunachal Pradesh,Tawang,2025-11,16,13,5,34
Arunachal Pradesh,Tawang,2025-12,12,6,0,18
Arunachal Pradesh,Tirap,2025-09,16,10,0,26
Arunachal Pradesh,Tirap,2025-10,19,9,0,28
Arunachal Pradesh,Tirap,2025-11,20,14,1,35
Arunachal Pradesh,Tirap,2025-12,4,6,0,10
Arunachal Pradesh,Upper Siang,2025-09,10,5,0,15
Arunachal Pradesh,Upper Siang,2025-10,6,9,0,15
Arunachal Pradesh,Upper Siang,2025-11,3,5,1,9
Arunachal Pradesh,Upper Siang,2025-12,2,2,0,4
Arunachal Pradesh,Upper Subansiri,2025-09,34,22,0,56
Arunachal Pradesh,Upper Subansiri,2025-10,14,16,1,31
Arunachal Pradesh,Upper Subansiri,2025-11,11,11,11,33
Arunachal Pradesh,Upper Subansiri,2025-12,17,6,0,23
Arunachal Pradesh,West Kameng,2025-07,43,30,10,83
Arunachal Pradesh,West Kameng,2025-09,46,35,1,82
Arunachal Pradesh,West Kameng,2025-10,32,14,0,46
Arunachal Pradesh,West Kameng,2025-11,20,19,7,46
Arunachal Pradesh,West Kameng,2025-12,16,5,0,21
Arunachal Pradesh,West Siang,2025-09,45,35,0,80
Arunachal Pradesh,West Siang,2025-10,27,16,0,43
Arunachal Pradesh,West Siang,2025-11,21,21,2,44
Arunachal Pradesh,West Siang,2025-12,17,8,0,25
Assam,Bajali,2025-09,7,5,0,12
Assam,Bajali,2025-10,4,0,0,4
Assam,Bajali,2025-11,3,3,2,8
Assam,Bajali,2025-12,5,0,0,5
Assam,Baksa,2025-03,11,14,13,38
Assam,Baksa,2025-04,408,483,187,1078
Assam,Baksa,2025-05,37,25,20,82
Assam,Baksa,2025-06,28,12,12,52
Assam,Baksa,2025-07,110,71,39,220
Assam,Baksa,2025-09,493,215,1,709
Assam,Baksa,2025-10,408,128,90,626
Assam,Baksa,2025-11,322,138,25,485
Assam,Baksa,2025-12,303,93,13,409
Assam,Barpeta,2025-03,24,34,10,68
Assam,Barpeta,2025-04,138,54,23,215
Assam,Barpeta,2025-05,90,83,10,183
Assam,Barpeta,2025-06,699,376,104,1179
Assam,Barpeta,2025-07,3310,895,184,4389
Assam,Barpeta,2025-09,2848,843,11,3702
Assam,Barpeta,2025-10,1303,408,25,1736
Assam,Barpeta,2025-11,1286,394,158,1838
Assam,Barpeta,2025-12,847,219,7,1073
Assam,Biswanath,2025-04,104,114,32,250
Assam,Biswanath,2025-09,215,120,2,337
Assam,Biswanath,2025-10,148,72,1,221
Assam,Biswanath,2025-11,203,100,33,336
Assam,Biswanath,2025-12,119,58,8,185
Assam,Bongaigaon,2025-03,25,33,31,89
Assam,Bongaigaon,2025-04,221,87,61,369
Assam,Bongaigaon,2025-05,110,41,15,166
Assam,Bongaigaon,2025-06,33,14,14,61
Assam,Bongaigaon,2025-07,236,51,16,303
Assam,Bongaigaon,2025-09,734,161,6,901
Assam,Bongaigaon,2025-10,313,81,28,422
Assam,Bongaigaon,2025-11,385,95,14,494
Assam,Bongaigaon,2025-12,267,63,40,370
Assam,Cachar,2025-04,988,461,299,1748
Assam,Cachar,2025-06,847,584,201,1632
Assam,Cachar,2025-07,4026,1357,490,5873
Assam,Cachar,2025-09,2579,871,13,3463
Assam,Cachar,2025-10,1150,427,304,1881
Assam,Cachar,2025-11,1167,540,177,1884
Assam,Cachar,2025-12,717,273,43,1033
Assam,Charaideo,2025-04,91,50,164,305
Assam,Charaideo,2025-05,29,11,10,50
Assam,Charaideo,2025-09,202,97,0,299
Assam,Charaideo,2025-10,106,63,0,169
Assam,Charaideo,2025-11,144,80,1,225
Assam,Charaideo,2025-12,87,35,19,141
Assam,Chirang,2025-03,12,29,15,56
Assam,Chirang,2025-04,189,199,179,567
Assam,Chirang,2025-07,893,364,52,1309
Assam,Chirang,2025-09,335,175,1,511
Assam,Chirang,2025-10,145,83,1,229
Assam,Chirang,2025-11,223,135,2,360
Assam,Chirang,2025-12,216,86,14,316
Assam,Darrang,2025-04,654,340,270,1264
Assam,Darrang,2025-05,87,53,308,448
Assam,Darrang,2025-06,63,25,10,98
Assam,Darrang,2025-07,190,56,11,257
Assam,Darrang,2025-09,1221,556,7,1784
Assam,Darrang,2025-10,672,306,107,1085
Assam,Darrang,2025-11,762,325,575,1662
Assam,Darrang,2025-12,741,253,3,997
Assam,Dhemaji,2025-03,20,46,19,85
Assam,Dhemaji,2025-04,179,176,52,407
Assam,Dhemaji,2025-05,264,174,153,591
Assam,Dhemaji,2025-06,135,126,55,316
Assam,Dhemaji,2025-07,1625,576,337,2538
Assam,Dhemaji,2025-09,566,274,66,906
Assam,Dhemaji,2025-10,267,140,257,664
Assam,Dhemaji,2025-11,441,175,211,827
Assam,Dhemaji,2025-12,367,159,41,567
Assam,Dhubri,2025-03,89,229,98,416
Assam,Dhubri,2025-04,998,654,80,1732
Assam,Dhubri,2025-06,323,198,24,545
Assam,Dhubri,2025-07,774,306,27,1107
Assam,Dhubri,2025-09,2776,1048,5,3829
Assam,Dhubri,2025-10,1260,458,108,1826
Assam,Dhubri,2025-11,1264,592,22,1878
Assam,Dhubri,2025-12,948,364,1,1313
Assam,Dibrugarh,2025-03,10,12,14,36
Assam,Dibrugarh,2025-04,179,149,186,514
Assam,Dibrugarh,2025-05,140,95,149,384
Assam,Dibrugarh,2025-06,413,127,134,674
Assam,Dibrugarh,2025-07,1455,488,541,2484
Assam,Dibrugarh,2025-09,652,306,52,1010
Assam,Dibrugarh,2025-10,362,174,144,680
Assam,Dibrugarh,2025-11,409,226,218,853
Assam,Dibrugarh,2025-12,275,98,54,427
Assam,Dima Hasao,2025-06,33,28,10,71
Assam,Dima Hasao,2025-07,83,51,14,148
Assam,Dima Hasao,2025-09,1,10,2,13
Assam,Dima Hasao,2025-10,0,7,2,9
Assam,Dima Hasao,2025-11,1,5,0,6
Assam,Dima Hasao,2025-12,1,2,0,3
Assam,Goalpara,2025-04,587,294,283,1164
Assam,Goalpara,2025-05,412,253,116,781
Assam,Goalpara,2025-06,17,43,20,80
Assam,Goalpara,2025-07,2119,590,189,2898
Assam,Goalpara,2025-09,1671,448,29,2148
Assam,Goalpara,2025-10,750,224,22,996
Assam,Goalpara,2025-11,794,244,48,1086
Assam,Goalpara,2025-12,531,124,90,745
Assam,Golaghat,2025-04,568,501,144,1213
Assam,Golaghat,2025-05,807,826,230,1863
Assam,Golaghat,2025-06,561,502,202,1265
Assam,Golaghat,2025-07,1617,1002,850,3469
Assam,Golaghat,2025-09,907,457,64,1428
Assam,Golaghat,2025-10,297,223,216,736
Assam,Golaghat,2025-11,434,347,212,993
Assam,Golaghat,2025-12,346,189,3,538
Assam,Hailakandi,2025-04,242,143,78,463
Assam,Hailakandi,2025-07,683,287,46,1016
Assam,Hailakandi,2025-09,1295,468,1,1764
Assam,Hailakandi,2025-10,562,176,116,854
Assam,Hailakandi,2025-11,665,219,45,929
Assam,Hailakandi,2025-12,379,148,25,552
Assam,Hojai,2025-03,27,42,20,89
Assam,Hojai,2025-04,763,253,100,1116
Assam,Hojai,2025-06,277,76,11,364
Assam,Hojai,2025-07,1750,350,23,2123
Assam,Hojai,2025-09,1102,352,0,1454
Assam,Hojai,2025-10,539,196,1,736
Assam,Hojai,2025-11,524,221,0,745
Assam,Hojai,2025-12,306,117,0,423
Assam,Jorhat,2025-04,210,156,154,520
Assam,Jorhat,2025-05,17,24,13,54
Assam,Jorhat,2025-06,24,19,13,56
Assam,Jorhat,2025-07,633,323,415,1371
Assam,Jorhat,2025-09,597,229,2,828
Assam,Jorhat,2025-10,493,136,119,748
Assam,Jorhat,2025-11,626,152,119,897
Assam,Jorhat,2025-12,305,83,25,413
Assam,Kamrup,2025-03,13,20,13,46
Assam,Kamrup,2025-04,741,404,179,1324
Assam,Kamrup,2025-05,813,580,264,1657
Assam,Kamrup,2025-06,133,51,23,207
Assam,Kamrup,2025-07,2813,736,255,3804
Assam,Kamrup,2025-09,1802,686,12,2500
Assam,Kamrup,2025-10,1015,344,166,1525
Assam,Kamrup,2025-11,1109,345,29,1483
Assam,Kamrup,2025-12,872,204,44,1120
Assam,Kamrup Metro,2025-04,276,396,213,885
Assam,Kamrup Metro,2025-05,67,42,53,162
Assam,Kamrup Metro,2025-06,55,54,65,174
Assam,Kamrup Metro,2025-07,259,168,82,509
Assam,Kamrup Metro,2025-09,597,602,5,1204
Assam,Kamrup Metro,2025-10,421,290,384,1095
Assam,Kamrup Metro,2025-11,573,399,503,1475
Assam,Kamrup Metro,2025-12,406,104,32,542
Assam,Karbi Anglong,2025-04,543,1030,323,1896
Assam,Karbi Anglong,2025-05,446,1537,175,2158
Assam,Karbi Anglong,2025-09,814,537,240,1591
Assam,Karbi Anglong,2025-10,327,325,174,826
Assam,Karbi Anglong,2025-11,521,500,127,1148
Assam,Karbi Anglong,2025-12,267,178,43,488
Assam,Karimganj,2025-04,508,426,91,1025
Assam,Karimganj,2025-05,286,282,193,761
Assam,Karimganj,2025-06,253,277,97,627
Assam,Karimganj,2025-07,1931,1057,183,3171
Assam,Karimganj,2025-09,2809,1192,8,4009
Assam,Karimganj,2025-10,1003,490,5,1498
Assam,Karimganj,2025-11,1476,728,15,2219
Assam,Karimganj,2025-12,1070,451,2,1523
Assam,Kokrajhar,2025-03,91,169,80,340
Assam,Kokrajhar,2025-04,301,238,25,564
Assam,Kokrajhar,2025-05,249,237,32,518
Assam,Kokrajhar,2025-06,155,115,17,287
Assam,Kokrajhar,2025-07,284,173,119,576
Assam,Kokrajhar,2025-09,494,237,35,766
Assam,Kokrajhar,2025-10,255,132,113,500
Assam,Kokrajhar,2025-11,339,187,97,623
Assam,Kokrajhar,2025-12,351,84,0,435
Assam,Lakhimpur,2025-03,25,34,42,101
Assam,Lakhimpur,2025-04,400,221,93,714
Assam,Lakhimpur,2025-05,404,216,127,747
Assam,Lakhimpur,2025-06,207,181,63,451
Assam,Lakhimpur,2025-07,536,216,159,911
Assam,Lakhimpur,2025-09,1317,448,8,1773
Assam,Lakhimpur,2025-10,629,190,55,874
