state,district,year_month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
Andhra Pradesh,Nandyal,2025-11,264,12,2,595,2495,814,415
Andhra Pradesh,Nandyal,2025-12,181,5,1,631,3161,840,505
Andhra Pradesh,Nellore,2025-09,1477,292,2,876,9852,3391,5019
Andhra Pradesh,Nellore,2025-10,884,174,0,1122,7225,9921,5115
Andhra Pradesh,Nellore,2025-11,1311,202,0,2318,14267,11289,6681
Andhra Pradesh,Nellore,2025-12,939,86,0,1851,13553,7405,6996
Andhra Pradesh,Nizamabad,2025-09,167,28,0,85,871,368,961
Andhra Pradesh,Nizamabad,2025-10,138,19,0,122,756,641,1058
Andhra Pradesh,Nizamabad,2025-11,104,21,0,280,1382,540,896
Andhra Pradesh,Nizamabad,2025-12,44,3,0,188,1328,532,1015
Andhra Pradesh,Palnadu,2025-09,239,34,11,247,1869,192,348
Andhra Pradesh,Palnadu,2025-10,148,17,1,331,1389,593,264
Andhra Pradesh,Palnadu,2025-11,167,14,7,531,2644,686,346
Andhra Pradesh,Palnadu,2025-12,205,11,6,558,3594,610,443
Andhra Pradesh,Parvathipuram Manyam,2025-09,162,11,4,96,848,149,432
Andhra Pradesh,Parvathipuram Manyam,2025-10,103,14,2,214,886,320,431
Andhra Pradesh,Parvathipuram Manyam,2025-11,106,9,0,379,1475,541,460
Andhra Pradesh,Parvathipuram Manyam,2025-12,93,2,2,383,1873,397,667
Andhra Pradesh,Prakasam,2025-07,91,108,38,232,1052,8732,9994
Andhra Pradesh,Prakasam,2025-09,2197,479,13,1440,14937,4352,6116
Andhra Pradesh,Prakasam,2025-10,1290,217,2,2312,11395,10066,7699
Andhra Pradesh,Prakasam,2025-11,1633,246,5,4706,21278,13488,8594
Andhra Pradesh,Prakasam,2025-12,1194,107,3,3757,22180,11605,9523
Andhra Pradesh,Rangareddi,2025-09,502,132,0,381,2881,1239,4557
Andhra Pradesh,Rangareddi,2025-10,355,120,0,607,2650,2017,3351
Andhra Pradesh,Rangareddi,2025-11,375,122,0,1403,4706,1739,3606
Andhra Pradesh,Rangareddi,2025-12,246,31,0,715,5379,1848,5218
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,251,224,83,353,2469,299,319
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,128,134,70,275,1569,1008,224
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,195,187,103,623,3447,1036,300
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,115,77,47,676,4580,724,381
Andhra Pradesh,Sri Sathya Sai,2025-09,240,14,9,250,1802,185,412
Andhra Pradesh,Sri Sathya Sai,2025-10,200,9,1,396,1628,738,439
Andhra Pradesh,Sri Sathya Sai,2025-11,239,13,3,800,3008,577,567
Andhra Pradesh,Sri Sathya Sai,2025-12,200,4,6,765,4482,474,705
Andhra Pradesh,Srikakulam,2025-09,1339,53,5,1605,11473,3417,5782
Andhra Pradesh,Srikakulam,2025-10,861,34,1,3065,7763,11802,6536
Andhra Pradesh,Srikakulam,2025-11,1185,34,0,5318,15113,11031,6435
Andhra Pradesh,Srikakulam,2025-12,772,14,2,3737,16294,9120,8483
Andhra Pradesh,Tirupati,2025-09,223,310,84,377,2762,296,375
Andhra Pradesh,Tirupati,2025-10,130,83,20,350,1617,658,331
Andhra Pradesh,Tirupati,2025-11,223,209,76,685,3999,868,431
Andhra Pradesh,Tirupati,2025-12,226,87,48,870,5545,602,539
Andhra Pradesh,Visakhapatnam,2025-09,2358,185,8,1834,15181,9267,9802
Andhra Pradesh,Visakhapatnam,2025-10,1525,88,1,2007,10396,12702,8441
Andhra Pradesh,Visakhapatnam,2025-11,2065,124,14,4145,20905,20111,10754
Andhra Pradesh,Visakhapatnam,2025-12,1740,63,7,3693,23909,16861,13639
Andhra Pradesh,Vizianagaram,2025-09,1220,72,2,845,8074,2908,5242
Andhra Pradesh,Vizianagaram,2025-10,739,40,0,1528,6242,7728,5582
Andhra Pradesh,Vizianagaram,2025-11,1012,33,1,2660,11212,11576,6105
Andhra Pradesh,Vizianagaram,2025-12,724,13,0,2445,12644,10043,8271
Andhra Pradesh,Warangal,2025-09,329,60,0,359,5109,1506,5246
Andhra Pradesh,Warangal,2025-10,231,63,0,629,4165,2137,3776
Andhra Pradesh,Warangal,2025-11,193,58,0,1222,7889,1713,4116
Andhra Pradesh,Warangal,2025-12,105,20,0,667,7831,1555,4302
Andhra Pradesh,West Godavari,2025-09,1871,128,6,1149,14790,4989,7097
Andhra Pradesh,West Godavari,2025-10,1015,91,6,1635,9707,14249,6405
Andhra Pradesh,West Godavari,2025-11,1579,89,7,3334,18781,15633,7745
Andhra Pradesh,West Godavari,2025-12,1103,35,5,2848,20378,12900,9890
Andhra Pradesh,Y. S. R,2025-09,213,30,8,310,2383,215,353
Andhra Pradesh,Y. S. R,2025-10,151,6,1,309,1609,585,237
Andhra Pradesh,Y. S. R,2025-11,228,13,10,559,3286,678,288
Andhra Pradesh,Y. S. R,2025-12,146,3,14,570,3893,709,473
Arunachal Pradesh,Anjaw,2025-09,16,5,0,37,171,50,28
Arunachal Pradesh,Anjaw,2025-10,1,2,0,20,50,34,24
Arunachal Pradesh,Anjaw,2025-11,3,4,3,27,103,184,36
Arunachal Pradesh,Anjaw,2025-12,3,0,0,20,98,85,38
Arunachal Pradesh,Changlang,2025-09,288,136,5,327,2017,762,514
Arunachal Pradesh,Changlang,2025-10,76,117,1,72,477,255,212
Arunachal Pradesh,Changlang,2025-11,66,45,7,144,702,1265,234
Arunachal Pradesh,Changlang,2025-12,56,6,0,74,653,886,215
Arunachal Pradesh,Dibang Valley,2025-09,2,2,0,1,40,10,9
Arunachal Pradesh,Dibang Valley,2025-10,3,1,0,9,10,27,5
Arunachal Pradesh,Dibang Valley,2025-11,1,0,0,8,41,168,24
Arunachal Pradesh,Dibang Valley,2025-12,1,0,0,10,41,14,9
Arunachal Pradesh,East Kameng,2025-09,47,29,0,126,614,396,263
Arunachal Pradesh,East Kameng,2025-10,18,21,0,53,190,280,154
Arunachal Pradesh,East Kameng,2025-11,14,16,14,44,167,564,117
Arunachal Pradesh,East Kameng,2025-12,9,13,0,69,159,199,48
Arunachal Pradesh,East Siang,2025-09,29,27,0,135,615,152,96
Arunachal Pradesh,East Siang,2025-10,21,21,0,93,406,281,98
Arunachal Pradesh,East Siang,2025-11,23,29,2,106,471,539,133
Arunachal Pradesh,East Siang,2025-12,7,9,0,70,437,493,95
Arunachal Pradesh,Kamle,2025-09,2,18,0,43,190,6,17
Arunachal Pradesh,Kamle,2025-10,0,1,0,8,8,3,2
Arunachal Pradesh,Kamle,2025-11,0,5,2,10,50,8,12
Arunachal Pradesh,Kamle,2025-12,1,1,0,3,6,2,2
Arunachal Pradesh,Kra Daadi,2025-09,7,27,0,53,84,75,37
Arunachal Pradesh,Kra Daadi,2025-10,7,15,0,27,48,53,22
Arunachal Pradesh,Kra Daadi,2025-11,3,9,4,20,53,34,24
Arunachal Pradesh,Kra Daadi,2025-12,1,8,0,19,79,67,19
Arunachal Pradesh,Kurung Kumey,2025-09,7,19,0,49,89,134,132
Arunachal Pradesh,Kurung Kumey,2025-10,7,11,0,20,34,118,51
Arunachal Pradesh,Kurung Kumey,2025-11,3,12,12,26,75,312,50
Arunachal Pradesh,Kurung Kumey,2025-12,2,2,0,11,31,141,18
Arunachal Pradesh,Leparada,2025-09,0,1,0,2,5,3,0
Arunachal Pradesh,Leparada,2025-11,0,0,1,3,7,14,1
Arunachal Pradesh,Leparada,2025-12,0,1,0,1,3,3,0
Arunachal Pradesh,Lohit,2025-09,30,18,0,61,441,141,175
Arunachal Pradesh,Lohit,2025-10,18,23,0,26,171,196,96
Arunachal Pradesh,Lohit,2025-11,17,11,1,55,363,317,100
Arunachal Pradesh,Lohit,2025-12,37,11,0,40,445,448,266
Arunachal Pradesh,Longding,2025-09,61,269,0,96,453,224,109
Arunachal Pradesh,Longding,2025-10,12,59,0,37,107,123,46
Arunachal Pradesh,Longding,2025-11,17,63,4,49,175,258,64
Arunachal Pradesh,Longding,2025-12,5,6,0,36,202,102,73
Arunachal Pradesh,Lower Dibang Valley,2025-09,24,19,0,35,221,96,81
Arunachal Pradesh,Lower Dibang Valley,2025-10,17,11,0,43,139,270,77
Arunachal Pradesh,Lower Dibang Valley,2025-11,7,14,2,39,210,291,72
Arunachal Pradesh,Lower Dibang Valley,2025-12,10,5,0,33,152,172,97
Arunachal Pradesh,Lower Siang,2025-09,6,6,0,15,80,27,13
Arunachal Pradesh,Lower Siang,2025-10,0,4,0,7,26,87,9
Arunachal Pradesh,Lower Siang,2025-11,4,7,3,14,43,182,7
Arunachal Pradesh,Lower Siang,2025-12,0,1,0,12,54,25,3
Arunachal Pradesh,Lower Subansiri,2025-09,19,25,0,51,375,180,116
Arunachal Pradesh,Lower Subansiri,2025-10,6,16,0,36,217,280,96
Arunachal Pradesh,Lower Subansiri,2025-11,18,10,0,43,273,107,75
Arunachal Pradesh,Lower Subansiri,2025-12,7,4,0,27,178,110,44
Arunachal Pradesh,Namsai,2025-09,32,29,0,79,500,167,211
Arunachal Pradesh,Namsai,2025-10,20,15,1,35,196,79,102
Arunachal Pradesh,Namsai,2025-11,22,3,0,28,354,965,111
Arunachal Pradesh,Namsai,2025-12,21,7,0,29,311,582,155
Arunachal Pradesh,Pakke Kessang,2025-09,1,1,0,7,19,7,21
Arunachal Pradesh,Pakke Kessang,2025-10,1,0,0,2,19,4,7
Arunachal Pradesh,Pakke Kessang,2025-11,0,0,1,4,28,5,10
Arunachal Pradesh,Papum Pare,2025-09,72,87,0,171,825,968,409
Arunachal Pradesh,Papum Pare,2025-10,56,66,0,144,528,513,275
Arunachal Pradesh,Papum Pare,2025-11,49,63,5,171,789,376,309
Arunachal Pradesh,Papum Pare,2025-12,24,25,0,121,699,568,207
Arunachal Pradesh,Shi-yomi,2025-09,5,0,0,11,28,11,13
Arunachal Pradesh,Shi-yomi,2025-10,2,5,0,9,21,12,7
Arunachal Pradesh,Shi-yomi,2025-11,1,15,5,11,100,66,167
Arunachal Pradesh,Shi-yomi,2025-12,0,2,0,12,46,33,40
Arunachal Pradesh,Siang,2025-09,31,43,0,58,150,105,26
Arunachal Pradesh,Siang,2025-10,4,11,0,25,80,48,23
Arunachal Pradesh,Siang,2025-11,2,6,4,41,91,191,27
Arunachal Pradesh,Siang,2025-12,2,0,0,26,122,134,33
Arunachal Pradesh,Tawang,2025-09,56,14,0,72,188,114,47
Arunachal Pradesh,Tawang,2025-10,20,10,2,33,92,450,43
Arunachal Pradesh,Tawang,2025-11,16,13,5,36,157,376,29
Arunachal Pradesh,Tawang,2025-12,12,6,0,41,188,326,47
Arunachal Pradesh,Tirap,2025-09,16,10,0,12,176,115,57
Arunachal Pradesh,Tirap,2025-10,19,9,0,11,107,447,44
Arunachal Pradesh,Tirap,2025-11,20,14,1,29,185,254,40
Arunachal Pradesh,Tirap,2025-12,4,6,0,26,191,88,44
Arunachal Pradesh,Upper Siang,2025-09,10,5,0,49,533,65,53
Arunachal Pradesh,Upper Siang,2025-10,6,9,0,46,240,137,55
Arunachal Pradesh,Upper Siang,2025-11,3,5,1,45,137,251,55
Arunachal Pradesh,Upper Siang,2025-12,2,2,0,47,172,395,41
Arunachal Pradesh,Upper Subansiri,2025-09,34,22,0,87,184,202,131
Arunachal Pradesh,Upper Subansiri,2025-10,14,16,1,54,109,205,77
Arunachal Pradesh,Upper Subansiri,2025-11,11,11,11,49,175,475,68
Arunachal Pradesh,Upper Subansiri,2025-12,17,6,0,51,164,203,119
Arunachal Pradesh,West Kameng,2025-09,46,35,1,126,339,369,196
Arunachal Pradesh,West Kameng,2025-10,32,14,0,81,321,283,161
Arunachal Pradesh,West Kameng,2025-11,20,19,7,66,365,256,231
Arunachal Pradesh,West Kameng,2025-12,16,5,0,77,343,816,240
Arunachal Pradesh,West Siang,2025-09,45,35,0,199,796,476,131
Arunachal Pradesh,West Siang,2025-10,27,16,0,59,287,300,106
Arunachal Pradesh,West Siang,2025-11,21,21,2,67,425,1100,80
Arunachal Pradesh,West Siang,2025-12,17,8,0,86,367,238,83
Assam,Bajali,2025-09,7,5,0,15,210,2,7
Assam,Bajali,2025-10,4,0,0,3,82,0,3
Assam,Bajali,2025-11,3,3,2,17,160,1,2
Assam,Bajali,2025-12,5,0,0,22,335,3,5
Assam,Baksa,2025-03,11,14,13,397,4438,1333,527
Assam,Baksa,2025-09,493,215,1,288,2192,805,335
Assam,Baksa,2025-10,408,128,90,108,1777,759,1359
Assam,Baksa,2025-11,322,138,25,184,2642,1796,597
Assam,Baksa,2025-12,303,93,13,369,4617,1355,985
Assam,Barpeta,2025-03,24,34,10,821,9181,8751,2053
Assam,Barpeta,2025-07,3310,895,184,678,5327,3080,2135
Assam,Barpeta,2025-09,2848,843,11,1066,9856,7988,2103
Assam,Barpeta,2025-10,1303,408,25,540,6060,10294,7012
Assam,Barpeta,2025-11,1286,394,158,787,9011,8078,3943
Assam,Barpeta,2025-12,847,219,7,1086,14729,5057,5212
Assam,Biswanath,2025-09,215,120,2,173,1906,693,208
Assam,Biswanath,2025-10,148,72,1,78,1331,397,935
Assam,Biswanath,2025-11,203,100,33,136,1664,584,274
Assam,Biswanath,2025-12,119,58,8,230,2548,935,423
Assam,Bongaigaon,2025-03,25,33,31,699,8681,3011,1170
Assam,Bongaigaon,2025-04,221,87,61,348,4007,4512,1135
Assam,Bongaigaon,2025-07,236,51,16,636,5760,1549,1261
Assam,Bongaigaon,2025-09,734,161,6,502,4784,1938,772
Assam,Bongaigaon,2025-10,313,81,28,278,2713,4038,2546
Assam,Bongaigaon,2025-11,385,95,14,348,4129,3207,1380
Assam,Bongaigaon,2025-12,267,63,40,507,5732,2553,1726
Assam,Cachar,2025-07,4026,1357,490,154,1628,4048,3312
Assam,Cachar,2025-09,2579,871,13,1027,12108,5501,2305
Assam,Cachar,2025-10,1150,427,304,672,7908,4234,3870
Assam,Cachar,2025-11,1167,540,177,954,9936,3629,2069
Assam,Cachar,2025-12,717,273,43,1037,11361,6771,3214
Assam,Charaideo,2025-09,202,97,0,198,1986,1400,222
Assam,Charaideo,2025-10,106,63,0,89,1666,548,343
Assam,Charaideo,2025-11,144,80,1,167,1707,594,206
Assam,Charaideo,2025-12,87,35,19,164,1838,541,292
Assam,Chirang,2025-03,12,29,15,179,1711,1611,679
Assam,Chirang,2025-09,335,175,1,196,1898,639,487
Assam,Chirang,2025-10,145,83,1,140,1945,2070,2074
Assam,Chirang,2025-11,223,135,2,288,2515,2961,977
Assam,Chirang,2025-12,216,86,14,372,4153,2555,1909
Assam,Darrang,2025-09,1221,556,7,923,5467,1772,735
Assam,Darrang,2025-10,672,306,107,441,3962,1420,1646
Assam,Darrang,2025-11,762,325,575,490,3900,1789,998
Assam,Darrang,2025-12,741,253,3,672,5984,2566,1561
Assam,Dhemaji,2025-03,20,46,19,534,5979,1622,834
Assam,Dhemaji,2025-09,566,274,66,448,3981,2033,532
Assam,Dhemaji,2025-10,267,140,257,248,3376,1034,2110
Assam,Dhemaji,2025-11,441,175,211,290,2994,1266,711
Assam,Dhemaji,2025-12,367,159,41,407,4092,2010,1159
Assam,Dhubri,2025-03,89,229,98,1070,10824,6765,1655
Assam,Dhubri,2025-06,323,198,24,184,2014,2047,1607
Assam,Dhubri,2025-07,774,306,27,695,5012,3790,2218
Assam,Dhubri,2025-09,2776,1048,5,1812,16503,3958,1337
Assam,Dhubri,2025-10,1260,458,108,611,7475,2540,4306
Assam,Dhubri,2025-11,1264,592,22,953,10470,3503,1830
Assam,Dhubri,2025-12,948,364,1,1860,21316,5809,3160
Assam,Dibrugarh,2025-03,10,12,14,338,5542,1444,2315
Assam,Dibrugarh,2025-09,652,306,52,524,6071,1789,868
Assam,Dibrugarh,2025-10,362,174,144,250,3338,776,734
Assam,Dibrugarh,2025-11,409,226,218,381,4835,1584,696
Assam,Dibrugarh,2025-12,275,98,54,381,4859,1462,623
Assam,Dima Hasao,2025-09,1,10,2,2,47,1,2
Assam,Dima Hasao,2025-10,0,7,2,1,35,2,3
Assam,Dima Hasao,2025-11,1,5,0,1,59,3,4
Assam,Dima Hasao,2025-12,1,2,0,12,123,5,5
Assam,Goalpara,2025-07,2119,590,189,917,5700,1551,1115
Assam,Goalpara,2025-09,1671,448,29,718,6764,1668,823
Assam,Goalpara,2025-10,750,224,22,352,3851,2492,2277
Assam,Goalpara,2025-11,794,244,48,660,5400,2397,1146
Assam,Goalpara,2025-12,531,124,90,910,8066,3241,2155
Assam,Golaghat,2025-09,907,457,64,465,4886,1459,651
Assam,Golaghat,2025-10,297,223,216,223,3544,1089,1290
Assam,Golaghat,2025-11,434,347,212,340,4317,2247,901
Assam,Golaghat,2025-12,346,189,3,383,4763,2736,981
Assam,Hailakandi,2025-07,683,287,46,76,703,2935,923
Assam,Hailakandi,2025-09,1295,468,1,511,4321,1861,596
Assam,Hailakandi,2025-10,562,176,116,335,3019,742,1513
