state,district,date,month_date,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,enrolments,total_demo_updates,total_bio_updates,total_enrolment_prev_1,total_demo_updates_prev_1,total_bio_updates_prev_1,enrolment_diff_1,demo_updates_diff_1,bio_updates_diff_1,year,month,target_enrolment_next_month,lag_1,lag_2,lag_3,lag_6,lag_12,roll_3m_mean,roll_3m_median,roll_3m_std,roll_6m_mean,roll_6m_median,roll_6m_std,has_full_history
Andaman and Nicobar Islands,South Andaman,2025-11,2025-11-01,45.0,3.0,0.0,113.0,711.0,532.0,216.0,48.0,824.0,748.0,7.0,39.0,70.0,41.0,785.0,678.0,2025,11,8.0,29.0,,,,,29.0,29.0,,29.0,29.0,,True
Andaman and Nicobar Islands,South Andaman,2025-12,2025-12-01,53.0,2.0,0.0,133.0,1148.0,959.0,272.0,55.0,1281.0,1231.0,8.0,104.0,81.0,47.0,1177.0,1150.0,2025,12,8.0,48.0,29.0,,,,38.5,38.5,13.435028842544403,38.5,38.5,13.435028842544403,True
Andhra Pradesh,Adilabad,2025-10,2025-10-01,236.0,71.0,1.0,459.0,4477.0,2245.0,5259.0,308.0,4936.0,7504.0,675.0,6460.0,11267.0,-367.0,-1524.0,-3763.0,2025,10,700.0,,,,,,,,,,,,False
Andhra Pradesh,Adilabad,2025-11,2025-11-01,286.0,63.0,0.0,764.0,6371.0,1420.0,4140.0,349.0,7135.0,5560.0,700.0,8150.0,11366.0,-351.0,-1015.0,-5806.0,2025,11,108.0,308.0,,,,,308.0,308.0,,308.0,308.0,,True
Andhra Pradesh,Adilabad,2025-12,2025-12-01,92.0,16.0,0.0,635.0,6656.0,1641.0,4749.0,108.0,7291.0,6390.0,349.0,7135.0,5560.0,-241.0,156.0,830.0,2025,12,401.0,349.0,308.0,,,,328.5,328.5,28.991378028648448,328.5,328.5,28.991378028648448,True
Andhra Pradesh,Alluri Sitharama Raju,2025-10,2025-10-01,265.0,26.0,4.0,195.0,1360.0,749.0,1270.0,295.0,1555.0,2019.0,387.0,1568.0,1411.0,-92.0,-13.0,608.0,2025,10,326.0,,,,,,,,,,,,False
Andhra Pradesh,Alluri Sitharama Raju,2025-11,2025-11-01,280.0,32.0,14.0,307.0,1925.0,1099.0,1013.0,326.0,2232.0,2112.0,295.0,1555.0,2019.0,31.0,677.0,93.0,2025,11,247.0,295.0,,,,,295.0,295.0,,295.0,295.0,,True
Andhra Pradesh,Anakapalli,2025-10,2025-10-01,86.0,4.0,0.0,240.0,1194.0,373.0,281.0,90.0,1434.0,654.0,150.0,1576.0,403.0,-60.0,-142.0,251.0,2025,10,177.0,,,,,,,,,,,,False
Andhra Pradesh,Anakapalli,2025-11,2025-11-01,169.0,4.0,4.0,355.0,1788.0,429.0,303.0,177.0,2143.0,732.0,90.0,1434.0,654.0,87.0,709.0,78.0,2025,11,126.0,90.0,,,,,90.0,90.0,,90.0,90.0,,True
Andhra Pradesh,Anantapur,2025-10,2025-10-01,979.0,80.0,0.0,2087.0,7830.0,5574.0,6560.0,1059.0,9917.0,12134.0,1388.0,8647.0,5739.0,-329.0,1270.0,6395.0,2025,10,1320.0,,,,,,,,,,,,False
Andhra Pradesh,Anantapur,2025-11,2025-11-01,1232.0,88.0,0.0,2975.0,11056.0,4338.0,6853.0,1320.0,14031.0,11191.0,1059.0,9917.0,12134.0,261.0,4114.0,-943.0,2025,11,648.0,1059.0,,,,,1059.0,1059.0,,1059.0,1059.0,,True
Andhra Pradesh,Ananthapur,2025-10,2025-10-01,418.0,39.0,0.0,2069.0,2703.0,5552.0,2105.0,457.0,4772.0,7657.0,571.0,2866.0,3201.0,-114.0,1906.0,4456.0,2025,10,510.0,,,,,,,,,,,,False
Andhra Pradesh,Ananthapur,2025-11,2025-11-01,476.0,34.0,0.0,2695.0,3911.0,3738.0,2396.0,510.0,6606.0,6134.0,457.0,4772.0,7657.0,53.0,1834.0,-1523.0,2025,11,456.0,457.0,,,,,457.0,457.0,,457.0,457.0,,True
Andhra Pradesh,Ananthapuramu,2025-10,2025-10-01,669.0,42.0,1.0,1164.0,3569.0,7446.0,1540.0,712.0,4733.0,8986.0,973.0,3830.0,3869.0,-261.0,903.0,5117.0,2025,10,873.0,,,,,,,,,,,,False
Andhra Pradesh,Ananthapuramu,2025-11,2025-11-01,829.0,41.0,3.0,1642.0,4973.0,5257.0,1819.0,873.0,6615.0,7076.0,712.0,4733.0,8986.0,161.0,1882.0,-1910.0,2025,11,629.0,712.0,,,,,712.0,712.0,,712.0,712.0,,True
Andhra Pradesh,Annamayya,2025-10,2025-10-01,164.0,15.0,6.0,441.0,1920.0,634.0,326.0,185.0,2361.0,960.0,306.0,2323.0,576.0,-121.0,38.0,384.0,2025,10,291.0,,,,,,,,,,,,False
Andhra Pradesh,Annamayya,2025-11,2025-11-01,250.0,11.0,30.0,619.0,3002.0,655.0,372.0,291.0,3621.0,1027.0,185.0,2361.0,960.0,106.0,1260.0,67.0,2025,11,239.0,185.0,,,,,185.0,185.0,,185.0,185.0,,True
Andhra Pradesh,Bapatla,2025-10,2025-10-01,75.0,11.0,2.0,202.0,1004.0,462.0,171.0,88.0,1206.0,633.0,134.0,1566.0,316.0,-46.0,-360.0,317.0,2025,10,152.0,,,,,,,,,,,,False
Andhra Pradesh,Bapatla,2025-11,2025-11-01,133.0,13.0,6.0,378.0,1765.0,769.0,203.0,152.0,2143.0,972.0,88.0,1206.0,633.0,64.0,937.0,339.0,2025,11,118.0,88.0,,,,,88.0,88.0,,88.0,88.0,,True
Andhra Pradesh,Chittoor,2025-10,2025-10-01,1618.0,165.0,5.0,4209.0,11599.0,19337.0,6698.0,1788.0,15808.0,26035.0,2572.0,16574.0,12157.0,-784.0,-766.0,13878.0,2025,10,2326.0,,,,,,,,,,,,False
Andhra Pradesh,Chittoor,2025-11,2025-11-01,2143.0,170.0,13.0,6601.0,19385.0,22221.0,8662.0,2326.0,25986.0,30883.0,1788.0,15808.0,26035.0,538.0,10178.0,4848.0,2025,11,1509.0,1788.0,,,,,1788.0,1788.0,,1788.0,1788.0,,True
Andhra Pradesh,Cuddapah,2025-10,2025-10-01,1206.0,83.0,0.0,1967.0,10484.0,10849.0,5852.0,1289.0,12451.0,16701.0,1723.0,10660.0,8415.0,-434.0,1791.0,8286.0,2025,10,1720.0,,,,,,,,,,,,False
Andhra Pradesh,Cuddapah,2025-11,2025-11-01,1604.0,115.0,1.0,3088.0,14164.0,11718.0,5958.0,1720.0,17252.0,17676.0,1289.0,12451.0,16701.0,431.0,4801.0,975.0,2025,11,1202.0,1289.0,,,,,1289.0,1289.0,,1289.0,1289.0,,True
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,2025-10-01,99.0,9.0,1.0,264.0,1313.0,653.0,240.0,109.0,1577.0,893.0,220.0,1972.0,509.0,-111.0,-395.0,384.0,2025,10,190.0,,,,,,,,,,,,False
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,2025-11-01,179.0,7.0,4.0,379.0,2301.0,941.0,295.0,190.0,2680.0,1236.0,109.0,1577.0,893.0,81.0,1103.0,343.0,2025,11,146.0,109.0,,,,,109.0,109.0,,109.0,109.0,,True
Andhra Pradesh,East Godavari,2025-10,2025-10-01,1361.0,126.0,1.0,3003.0,13419.0,20988.0,7726.0,1488.0,16422.0,28714.0,2503.0,19076.0,15238.0,-1015.0,-2654.0,13476.0,2025,10,2162.0,,,,,,,,,,,,False
Andhra Pradesh,East Godavari,2025-11,2025-11-01,2041.0,116.0,5.0,3953.0,20783.0,26682.0,9204.0,2162.0,24736.0,35886.0,1488.0,16422.0,28714.0,674.0,8314.0,7172.0,2025,11,1525.0,1488.0,,,,,1488.0,1488.0,,1488.0,1488.0,,True
Andhra Pradesh,Eluru,2025-10,2025-10-01,100.0,10.0,1.0,408.0,1983.0,381.0,267.0,111.0,2391.0,648.0,182.0,2544.0,607.0,-71.0,-153.0,41.0,2025,10,203.0,,,,,,,,,,,,False
Andhra Pradesh,Eluru,2025-11,2025-11-01,180.0,13.0,10.0,506.0,2896.0,584.0,285.0,203.0,3402.0,869.0,111.0,2391.0,648.0,92.0,1011.0,221.0,2025,11,133.0,111.0,,,,,111.0,111.0,,111.0,111.0,,True
Andhra Pradesh,Guntur,2025-10,2025-10-01,1514.0,219.0,1.0,3160.0,13539.0,17165.0,8852.0,1734.0,16699.0,26017.0,2748.0,18650.0,13222.0,-1014.0,-1951.0,12795.0,2025,10,2969.0,,,,,,,,,,,,False
Andhra Pradesh,Guntur,2025-11,2025-11-01,2698.0,257.0,14.0,4667.0,22012.0,21021.0,10826.0,2969.0,26679.0,31847.0,1734.0,16699.0,26017.0,1235.0,9980.0,5830.0,2025,11,2278.0,1734.0,,,,,1734.0,1734.0,,1734.0,1734.0,,True
Andhra Pradesh,Hyderabad,2025-09,2025-09-01,1151.0,339.0,1.0,469.0,4855.0,2138.0,8364.0,1491.0,5324.0,10502.0,7252.0,28400.0,31711.0,-5761.0,-23076.0,-21209.0,2025,9,4942.0,,,,,,,,,,,,False
Andhra Pradesh,Hyderabad,2025-10,2025-10-01,967.0,280.0,0.0,707.0,4033.0,2851.0,6315.0,1247.0,4740.0,9166.0,4087.0,19133.0,20320.0,-2840.0,-14393.0,-11154.0,2025,10,4592.0,1491.0,,,,,1491.0,1491.0,,1491.0,1491.0,,True
Andhra Pradesh,Hyderabad,2025-11,2025-11-01,1083.0,284.0,0.0,1494.0,7440.0,3097.0,7432.0,1367.0,8934.0,10529.0,4592.0,28794.0,27849.0,-3225.0,-19860.0,-17320.0,2025,11,735.0,1247.0,1491.0,,,,1369.0,1369.0,172.5340546095176,1369.0,1369.0,172.5340546095176,True
Andhra Pradesh,Hyderabad,2025-12,2025-12-01,630.0,105.0,0.0,1017.0,9451.0,3287.0,10852.0,735.0,10468.0,14139.0,1367.0,8934.0,10529.0,-632.0,1534.0,3610.0,2025,12,2682.0,1367.0,1247.0,1491.0,,,1368.3333333333333,1367.0,122.00546435850049,1368.3333333333333,1367.0,122.00546435850049,True
Andhra Pradesh,K.V.Rangareddy,2025-10,2025-10-01,11.0,6.0,0.0,7.0,85.0,52.0,164.0,17.0,92.0,216.0,29.0,113.0,210.0,-12.0,-21.0,6.0,2025,10,15.0,,,,,,,,,,,,False
Andhra Pradesh,K.V.Rangareddy,2025-11,2025-11-01,12.0,3.0,0.0,28.0,134.0,29.0,138.0,15.0,162.0,167.0,17.0,92.0,216.0,-2.0,70.0,-49.0,2025,11,8.0,17.0,,,,,17.0,17.0,,17.0,17.0,,True
Andhra Pradesh,K.v. Rangareddy,2025-09,2025-09-01,6.0,1.0,0.0,3.0,38.0,34.0,52.0,7.0,41.0,86.0,5769.0,28494.0,25599.0,-5762.0,-28453.0,-25513.0,2025,9,4341.0,,,,,,,,,,,,False
Andhra Pradesh,K.v. Rangareddy,2025-10,2025-10-01,5.0,3.0,0.0,9.0,30.0,47.0,39.0,8.0,39.0,86.0,4341.0,25915.0,25259.0,-4333.0,-25876.0,-25173.0,2025,10,4468.0,7.0,,,,,7.0,7.0,,7.0,7.0,,True
Andhra Pradesh,K.v. Rangareddy,2025-11,2025-11-01,1.0,0.0,0.0,11.0,29.0,37.0,35.0,1.0,40.0,72.0,4468.0,34468.0,28859.0,-4467.0,-34428.0,-28787.0,2025,11,3.0,8.0,7.0,,,,7.5,7.5,0.7071067811865476,7.5,7.5,0.7071067811865476,True
Andhra Pradesh,K.v. Rangareddy,2025-12,2025-12-01,3.0,0.0,0.0,9.0,37.0,64.0,44.0,3.0,46.0,108.0,1.0,40.0,72.0,2.0,6.0,36.0,2025,12,2619.0,1.0,8.0,7.0,,,5.333333333333333,7.0,3.785938897200183,5.333333333333333,7.0,3.785938897200183,True
Andhra Pradesh,Kakinada,2025-10,2025-10-01,169.0,28.0,2.0,370.0,1989.0,954.0,324.0,199.0,2359.0,1278.0,271.0,3117.0,596.0,-72.0,-758.0,682.0,2025,10,276.0,,,,,,,,,,,,False
Andhra Pradesh,Kakinada,2025-11,2025-11-01,246.0,19.0,11.0,576.0,3330.0,1247.0,382.0,276.0,3906.0,1629.0,199.0,2359.0,1278.0,77.0,1547.0,351.0,2025,11,223.0,199.0,,,,,199.0,199.0,,199.0,199.0,,True
Andhra Pradesh,Karim Nagar,2025-10,2025-10-01,21.0,4.0,0.0,14.0,181.0,82.0,163.0,25.0,195.0,245.0,24.0,224.0,262.0,1.0,-29.0,-17.0,2025,10,22.0,,,,,,,,,,,,False
Andhra Pradesh,Karim Nagar,2025-11,2025-11-01,19.0,3.0,0.0,39.0,272.0,76.0,223.0,22.0,311.0,299.0,25.0,195.0,245.0,-3.0,116.0,54.0,2025,11,11.0,25.0,,,,,25.0,25.0,,25.0,25.0,,True
Andhra Pradesh,Karimnagar,2025-09,2025-09-01,225.0,50.0,0.0,131.0,1985.0,392.0,2746.0,275.0,2116.0,3138.0,2155.0,15066.0,13364.0,-1880.0,-12950.0,-10226.0,2025,9,167.0,,,,,,,,,,,,False
Andhra Pradesh,Karimnagar,2025-10,2025-10-01,143.0,24.0,0.0,193.0,1496.0,797.0,1494.0,167.0,1689.0,2291.0,275.0,2116.0,3138.0,-108.0,-427.0,-847.0,2025,10,1557.0,275.0,,,,,275.0,275.0,,275.0,275.0,,True
Andhra Pradesh,Karimnagar,2025-11,2025-11-01,119.0,21.0,0.0,318.0,2279.0,639.0,1375.0,140.0,2597.0,2014.0,1557.0,11126.0,14387.0,-1417.0,-8529.0,-12373.0,2025,11,1334.0,167.0,275.0,,,,221.0,221.0,76.36753236814714,221.0,221.0,76.36753236814714,True
Andhra Pradesh,Khammam,2025-10,2025-10-01,201.0,59.0,0.0,1014.0,4804.0,2726.0,3065.0,260.0,5818.0,5791.0,1616.0,10036.0,7098.0,-1356.0,-4218.0,-1307.0,2025,10,871.0,,,,,,,,,,,,False
Andhra Pradesh,Khammam,2025-11,2025-11-01,227.0,72.0,0.0,1671.0,6086.0,2122.0,2292.0,299.0,7757.0,4414.0,871.0,9525.0,8216.0,-572.0,-1768.0,-3802.0,2025,11,947.0,260.0,,,,,260.0,260.0,,260.0,260.0,,True
Andhra Pradesh,Khammam,2025-12,2025-12-01,101.0,14.0,0.0,880.0,7323.0,1740.0,2368.0,115.0,8203.0,4108.0,947.0,10531.0,8585.0,-832.0,-2328.0,-4477.0,2025,12,454.0,299.0,260.0,,,,279.5,279.5,27.577164466275352,279.5,279.5,27.577164466275352,True
Andhra Pradesh,Krishna,2025-10,2025-10-01,1127.0,140.0,3.0,2322.0,10167.0,13069.0,7233.0,1270.0,12489.0,20302.0,2209.0,16621.0,14906.0,-939.0,-4132.0,5396.0,2025,10,1887.0,,,,,,,,,,,,False
Andhra Pradesh,Krishna,2025-11,2025-11-01,1741.0,128.0,18.0,3147.0,16600.0,17877.0,8508.0,1887.0,19747.0,26385.0,1270.0,12489.0,20302.0,617.0,7258.0,6083.0,2025,11,1371.0,1270.0,,,,,1270.0,1270.0,,1270.0,1270.0,,True
Andhra Pradesh,Kurnool,2025-10,2025-10-01,2561.0,212.0,2.0,3142.0,11947.0,23968.0,10978.0,2775.0,15089.0,34946.0,3481.0,14335.0,16957.0,-706.0,754.0,17989.0,2025,10,3165.0,,,,,,,,,,,,False
Andhra Pradesh,Kurnool,2025-11,2025-11-01,2965.0,194.0,6.0,5494.0,18679.0,21105.0,11578.0,3165.0,24173.0,32683.0,2775.0,15089.0,34946.0,390.0,9084.0,-2263.0,2025,11,2349.0,2775.0,,,,,2775.0,2775.0,,2775.0,2775.0,,True
Andhra Pradesh,Mahabub Nagar,2025-10,2025-10-01,270.0,102.0,0.0,68.0,2547.0,174.0,3184.0,372.0,2615.0,3358.0,672.0,3179.0,3883.0,-300.0,-564.0,-525.0,2025,10,337.0,,,,,,,,,,,,False
Andhra Pradesh,Mahabub Nagar,2025-11,2025-11-01,231.0,106.0,0.0,183.0,3230.0,162.0,2468.0,337.0,3413.0,2630.0,372.0,2615.0,3358.0,-35.0,798.0,-728.0,2025,11,130.0,372.0,,,,,372.0,372.0,,372.0,372.0,,True
Andhra Pradesh,Mahabubnagar,2025-10,2025-10-01,1.0,0.0,0.0,4.0,15.0,14.0,20.0,1.0,19.0,34.0,4111.0,15037.0,20653.0,-4110.0,-15018.0,-20619.0,2025,10,2562.0,,,,,,,,,,,,False
Andhra Pradesh,Mahabubnagar,2025-12,2025-12-01,3.0,0.0,0.0,3.0,28.0,8.0,18.0,3.0,31.0,26.0,2325.0,17829.0,21608.0,-2322.0,-17798.0,-21582.0,2025,12,1170.0,1.0,,,,,1.0,1.0,,1.0,1.0,,True
Andhra Pradesh,Mahbubnagar,2025-10,2025-10-01,124.0,65.0,0.0,232.0,1517.0,540.0,1789.0,189.0,1749.0,2329.0,287.0,1976.0,2221.0,-98.0,-227.0,108.0,2025,10,172.0,,,,,,,,,,,,False
Andhra Pradesh,Mahbubnagar,2025-11,2025-11-01,129.0,43.0,0.0,480.0,2102.0,452.0,1429.0,172.0,2582.0,1881.0,189.0,1749.0,2329.0,-17.0,833.0,-448.0,2025,11,74.0,189.0,,,,,189.0,189.0,,189.0,189.0,,True
Andhra Pradesh,Medak,2025-09,2025-09-01,465.0,84.0,1.0,213.0,2032.0,843.0,2763.0,550.0,2245.0,3606.0,2787.0,11962.0,14303.0,-2237.0,-9717.0,-10697.0,2025,9,344.0,,,,,,,,,,,,False
Andhra Pradesh,Medak,2025-10,2025-10-01,277.0,67.0,0.0,323.0,1713.0,1051.0,2312.0,344.0,2036.0,3363.0,550.0,2245.0,3606.0,-206.0,-209.0,-243.0,2025,10,2100.0,550.0,,,,,550.0,550.0,,550.0,550.0,,True
Andhra Pradesh,Medak,2025-11,2025-11-01,288.0,66.0,0.0,583.0,2990.0,924.0,1929.0,354.0,3573.0,2853.0,2100.0,9545.0,18731.0,-1746.0,-5972.0,-15878.0,2025,11,1818.0,344.0,550.0,,,,447.0,447.0,145.6639969244288,447.0,447.0,145.6639969244288,True
Andhra Pradesh,Medak,2025-12,2025-12-01,146.0,12.0,0.0,377.0,3130.0,989.0,2019.0,158.0,3507.0,3008.0,1818.0,11703.0,16975.0,-1660.0,-8196.0,-13967.0,2025,12,839.0,354.0,344.0,550.0,,,416.0,354.0,116.15506876585283,416.0,354.0,116.15506876585283,True
Andhra Pradesh,N. T. R,2025-10,2025-10-01,149.0,20.0,5.0,457.0,2417.0,711.0,442.0,174.0,2874.0,1153.0,295.0,4043.0,967.0,-121.0,-1169.0,186.0,2025,10,267.0,,,,,,,,,,,,False
Andhra Pradesh,N. T. R,2025-11,2025-11-01,218.0,31.0,18.0,731.0,4631.0,879.0,484.0,267.0,5362.0,1363.0,174.0,2874.0,1153.0,93.0,2488.0,210.0,2025,11,197.0,174.0,,,,,174.0,174.0,,174.0,174.0,,True
Andhra Pradesh,Nalgonda,2025-09,2025-09-01,385.0,99.0,0.0,181.0,5811.0,490.0,4210.0,484.0,5992.0,4700.0,2511.0,14373.0,12592.0,-2027.0,-8381.0,-7892.0,2025,9,1737.0,,,,,,,,,,,,False
Andhra Pradesh,Nalgonda,2025-10,2025-10-01,240.0,50.0,0.0,295.0,5097.0,992.0,4806.0,290.0,5392.0,5798.0,1737.0,12224.0,16303.0,-1447.0,-6832.0,-10505.0,2025,10,1678.0,484.0,,,,,484.0,484.0,,484.0,484.0,,True
Andhra Pradesh,Nalgonda,2025-11,2025-11-01,226.0,53.0,0.0,663.0,8156.0,859.0,3644.0,279.0,8819.0,4503.0,1678.0,15920.0,16740.0,-1399.0,-7101.0,-12237.0,2025,11,735.0,290.0,484.0,,,,387.0,387.0,137.17871555019022,387.0,387.0,137.17871555019022,True
Andhra Pradesh,Nandyal,2025-10,2025-10-01,194.0,16.0,0.0,299.0,1512.0,855.0,407.0,210.0,1811.0,1262.0,230.0,1772.0,608.0,-20.0,39.0,654.0,2025,10,278.0,,,,,,,,,,,,False
Andhra Pradesh,Nandyal,2025-11,2025-11-01,264.0,12.0,2.0,595.0,2495.0,814.0,415.0,278.0,3090.0,1229.0,210.0,1811.0,1262.0,68.0,1279.0,-33.0,2025,11,187.0,210.0,,,,,210.0,210.0,,210.0,210.0,,True
Andhra Pradesh,Nellore,2025-10,2025-10-01,884.0,174.0,0.0,1122.0,7225.0,9921.0,5115.0,1058.0,8347.0,15036.0,1771.0,10728.0,8410.0,-713.0,-2381.0,6626.0,2025,10,1513.0,,,,,,,,,,,,False
Andhra Pradesh,Nellore,2025-11,2025-11-01,1311.0,202.0,0.0,2318.0,14267.0,11289.0,6681.0,1513.0,16585.0,17970.0,1058.0,8347.0,15036.0,455.0,8238.0,2934.0,2025,11,1025.0,1058.0,,,,,1058.0,1058.0,,1058.0,1058.0,,True
Andhra Pradesh,Nizamabad,2025-09,2025-09-01,167.0,28.0,0.0,85.0,871.0,368.0,961.0,195.0,956.0,1329.0,2548.0,9775.0,11173.0,-2353.0,-8819.0,-9844.0,2025,9,1743.0,,,,,,,,,,,,False
Andhra Pradesh,Nizamabad,2025-10,2025-10-01,138.0,19.0,0.0,122.0,756.0,641.0,1058.0,157.0,878.0,1699.0,1743.0,8655.0,14052.0,-1586.0,-7777.0,-12353.0,2025,10,1510.0,195.0,,,,,195.0,195.0,,195.0,195.0,,True
Andhra Pradesh,Nizamabad,2025-11,2025-11-01,104.0,21.0,0.0,280.0,1382.0,540.0,896.0,125.0,1662.0,1436.0,1510.0,11903.0,15201.0,-1385.0,-10241.0,-13765.0,2025,11,776.0,157.0,195.0,,,,176.0,176.0,26.870057685088806,176.0,176.0,26.870057685088806,True
Andhra Pradesh,Palnadu,2025-10,2025-10-01,148.0,17.0,1.0,331.0,1389.0,593.0,264.0,166.0,1720.0,857.0,284.0,2116.0,540.0,-118.0,-396.0,317.0,2025,10,188.0,,,,,,,,,,,,False
Andhra Pradesh,Palnadu,2025-11,2025-11-01,167.0,14.0,7.0,531.0,2644.0,686.0,346.0,188.0,3175.0,1032.0,166.0,1720.0,857.0,22.0,1455.0,175.0,2025,11,222.0,166.0,,,,,166.0,166.0,,166.0,166.0,,True
Andhra Pradesh,Parvathipuram Manyam,2025-10,2025-10-01,103.0,14.0,2.0,214.0,886.0,320.0,431.0,119.0,1100.0,751.0,177.0,944.0,581.0,-58.0,156.0,170.0,2025,10,115.0,,,,,,,,,,,,False
Andhra Pradesh,Parvathipuram Manyam,2025-11,2025-11-01,106.0,9.0,0.0,379.0,1475.0,541.0,460.0,115.0,1854.0,1001.0,119.0,1100.0,751.0,-4.0,754.0,250.0,2025,11,97.0,119.0,,,,,119.0,119.0,,119.0,119.0,,True
Andhra Pradesh,Prakasam,2025-09,2025-09-01,2197.0,479.0,13.0,1440.0,14937.0,4352.0,6116.0,2689.0,16377.0,10468.0,237.0,1284.0,18726.0,2452.0,15093.0,-8258.0,2025,9,1509.0,,,,,,,,,,,,False
Andhra Pradesh,Prakasam,2025-10,2025-10-01,1290.0,217.0,2.0,2312.0,11395.0,10066.0,7699.0,1509.0,13707.0,17765.0,2689.0,16377.0,10468.0,-1180.0,-2670.0,7297.0,2025,10,1884.0,2689.0,,,,,2689.0,2689.0,,2689.0,2689.0,,True
Andhra Pradesh,Prakasam,2025-11,2025-11-01,1633.0,246.0,5.0,4706.0,21278.0,13488.0,8594.0,1884.0,25984.0,22082.0,1509.0,13707.0,17765.0,375.0,12277.0,4317.0,2025,11,1304.0,1509.0,2689.0,,,,2099.0,2099.0,834.3860018001261,2099.0,2099.0,834.3860018001261,True
Andhra Pradesh,Rangareddi,2025-10,2025-10-01,355.0,120.0,0.0,607.0,2650.0,2017.0,3351.0,475.0,3257.0,5368.0,634.0,3262.0,5796.0,-159.0,-5.0,-428.0,2025,10,497.0,,,,,,,,,,,,False
Andhra Pradesh,Rangareddi,2025-11,2025-11-01,375.0,122.0,0.0,1403.0,4706.0,1739.0,3606.0,497.0,6109.0,5345.0,475.0,3257.0,5368.0,22.0,2852.0,-23.0,2025,11,277.0,475.0,,,,,475.0,475.0,,475.0,475.0,,True
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,2025-10-01,128.0,134.0,70.0,275.0,1569.0,1008.0,224.0,332.0,1844.0,1232.0,558.0,2822.0,618.0,-226.0,-978.0,614.0,2025,10,485.0,,,,,,,,,,,,False
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,2025-11-01,195.0,187.0,103.0,623.0,3447.0,1036.0,300.0,485.0,4070.0,1336.0,332.0,1844.0,1232.0,153.0,2226.0,104.0,2025,11,239.0,332.0,,,,,332.0,332.0,,332.0,332.0,,True
