state,district,year_month,age_0_5,age_5_17,age_18_greater
Andhra Pradesh,Alluri Sitharama Raju,2025-04,10,1,0
Andhra Pradesh,Alluri Sitharama Raju,2025-05,36,11,0
Andhra Pradesh,Alluri Sitharama Raju,2025-06,20,6,2
Andhra Pradesh,Alluri Sitharama Raju,2025-07,20,2,7
Andhra Pradesh,Alluri Sitharama Raju,2025-08,31,1,0
Andhra Pradesh,Alluri Sitharama Raju,2025-09,23,3,0
Andhra Pradesh,Alluri Sitharama Raju,2025-10,31,3,3
Andhra Pradesh,Alluri Sitharama Raju,2025-11,28,5,1
Andhra Pradesh,Alluri Sitharama Raju,2025-12,29,7,1
Andhra Pradesh,Anakapalli,2025-01,13,0,0
Andhra Pradesh,Anakapalli,2025-02,16,0,0
Andhra Pradesh,Anakapalli,2025-03,17,1,0
Andhra Pradesh,Anakapalli,2025-04,8,0,0
Andhra Pradesh,Anakapalli,2025-05,6,0,0
Andhra Pradesh,Anakapalli,2025-06,14,0,0
Andhra Pradesh,Anakapalli,2025-07,5,0,0
Andhra Pradesh,Anakapalli,2025-08,12,0,0
Andhra Pradesh,Anakapalli,2025-09,16,0,0
Andhra Pradesh,Anakapalli,2025-10,13,0,1
Andhra Pradesh,Anakapalli,2025-11,13,0,0
Andhra Pradesh,Anakapalli,2025-12,8,0,0
Andhra Pradesh,Anantapur,2025-01,95,9,0
Andhra Pradesh,Anantapur,2025-02,169,23,0
Andhra Pradesh,Anantapur,2025-03,126,15,0
Andhra Pradesh,Anantapur,2025-04,57,5,0
Andhra Pradesh,Anantapur,2025-05,106,3,0
Andhra Pradesh,Anantapur,2025-06,126,6,0
Andhra Pradesh,Anantapur,2025-07,68,4,0
Andhra Pradesh,Anantapur,2025-08,121,14,0
Andhra Pradesh,Anantapur,2025-09,96,5,0
Andhra Pradesh,Anantapur,2025-10,84,12,0
Andhra Pradesh,Anantapur,2025-11,116,9,0
Andhra Pradesh,Anantapur,2025-12,106,9,0
Andhra Pradesh,Ananthapur,2025-01,29,7,0
Andhra Pradesh,Ananthapur,2025-02,58,8,0
Andhra Pradesh,Ananthapur,2025-03,37,3,0
Andhra Pradesh,Ananthapur,2025-04,17,3,0
Andhra Pradesh,Ananthapur,2025-05,45,1,0
Andhra Pradesh,Ananthapur,2025-06,49,6,0
Andhra Pradesh,Ananthapur,2025-07,26,2,0
Andhra Pradesh,Ananthapur,2025-08,47,4,0
Andhra Pradesh,Ananthapur,2025-09,46,4,0
Andhra Pradesh,Ananthapur,2025-10,39,3,0
Andhra Pradesh,Ananthapur,2025-11,37,3,0
Andhra Pradesh,Ananthapur,2025-12,52,2,0
Andhra Pradesh,Ananthapuramu,2025-01,55,2,0
Andhra Pradesh,Ananthapuramu,2025-02,103,7,0
Andhra Pradesh,Ananthapuramu,2025-03,97,5,0
Andhra Pradesh,Ananthapuramu,2025-04,45,3,0
Andhra Pradesh,Ananthapuramu,2025-05,77,4,0
Andhra Pradesh,Ananthapuramu,2025-06,68,2,2
Andhra Pradesh,Ananthapuramu,2025-07,38,2,0
Andhra Pradesh,Ananthapuramu,2025-08,83,6,0
Andhra Pradesh,Ananthapuramu,2025-09,55,2,0
Andhra Pradesh,Ananthapuramu,2025-10,69,2,2
Andhra Pradesh,Ananthapuramu,2025-11,67,0,1
Andhra Pradesh,Ananthapuramu,2025-12,73,4,0
Andhra Pradesh,Annamayya,2025-01,12,0,0
Andhra Pradesh,Annamayya,2025-02,35,1,11
Andhra Pradesh,Annamayya,2025-03,16,0,4
Andhra Pradesh,Annamayya,2025-04,17,0,5
Andhra Pradesh,Annamayya,2025-05,33,1,7
Andhra Pradesh,Annamayya,2025-06,19,1,1
Andhra Pradesh,Annamayya,2025-07,11,0,1
Andhra Pradesh,Annamayya,2025-08,25,2,0
Andhra Pradesh,Annamayya,2025-09,27,1,1
Andhra Pradesh,Annamayya,2025-10,26,2,6
Andhra Pradesh,Annamayya,2025-11,20,1,0
Andhra Pradesh,Annamayya,2025-12,23,1,6
Andhra Pradesh,Bapatla,2025-01,9,1,0
Andhra Pradesh,Bapatla,2025-02,17,2,0
Andhra Pradesh,Bapatla,2025-03,11,0,1
Andhra Pradesh,Bapatla,2025-04,4,0,0
Andhra Pradesh,Bapatla,2025-05,12,1,1
Andhra Pradesh,Bapatla,2025-06,8,1,0
Andhra Pradesh,Bapatla,2025-07,7,1,0
Andhra Pradesh,Bapatla,2025-08,11,0,1
Andhra Pradesh,Bapatla,2025-09,12,5,0
Andhra Pradesh,Bapatla,2025-10,13,1,0
Andhra Pradesh,Bapatla,2025-11,10,1,3
Andhra Pradesh,Bapatla,2025-12,7,0,0
Andhra Pradesh,Chittoor,2025-01,150,13,0
Andhra Pradesh,Chittoor,2025-02,305,33,0
Andhra Pradesh,Chittoor,2025-03,210,23,1
Andhra Pradesh,Chittoor,2025-04,103,8,0
Andhra Pradesh,Chittoor,2025-05,206,21,0
Andhra Pradesh,Chittoor,2025-06,189,17,0
Andhra Pradesh,Chittoor,2025-07,66,8,0
Andhra Pradesh,Chittoor,2025-08,235,19,0
Andhra Pradesh,Chittoor,2025-09,182,14,0
Andhra Pradesh,Chittoor,2025-10,244,19,4
Andhra Pradesh,Chittoor,2025-11,205,19,4
Andhra Pradesh,Chittoor,2025-12,175,23,2
Andhra Pradesh,Cuddapah,2025-01,124,11,0
Andhra Pradesh,Cuddapah,2025-02,255,21,0
Andhra Pradesh,Cuddapah,2025-03,151,18,0
Andhra Pradesh,Cuddapah,2025-04,86,4,0
Andhra Pradesh,Cuddapah,2025-05,154,14,0
Andhra Pradesh,Cuddapah,2025-06,157,20,1
Andhra Pradesh,Cuddapah,2025-07,60,4,0
Andhra Pradesh,Cuddapah,2025-08,165,14,0
Andhra Pradesh,Cuddapah,2025-09,142,11,0
Andhra Pradesh,Cuddapah,2025-10,166,9,0
Andhra Pradesh,Cuddapah,2025-11,133,11,0
Andhra Pradesh,Cuddapah,2025-12,109,7,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,10,2,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,27,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,19,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,3,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,16,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,17,1,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,9,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,20,1,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,17,4,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,21,2,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,13,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,18,0,2
Andhra Pradesh,East Godavari,2025-01,159,11,1
Andhra Pradesh,East Godavari,2025-02,325,25,1
Andhra Pradesh,East Godavari,2025-03,177,14,0
Andhra Pradesh,East Godavari,2025-04,103,12,0
Andhra Pradesh,East Godavari,2025-05,231,8,0
Andhra Pradesh,East Godavari,2025-06,181,16,0
Andhra Pradesh,East Godavari,2025-07,72,7,0
Andhra Pradesh,East Godavari,2025-08,229,13,0
Andhra Pradesh,East Godavari,2025-09,213,13,0
Andhra Pradesh,East Godavari,2025-10,241,16,1
Andhra Pradesh,East Godavari,2025-11,173,12,2
Andhra Pradesh,East Godavari,2025-12,170,11,0
Andhra Pradesh,Eluru,2025-01,6,0,0
Andhra Pradesh,Eluru,2025-02,28,0,0
Andhra Pradesh,Eluru,2025-03,10,3,0
Andhra Pradesh,Eluru,2025-04,9,0,0
Andhra Pradesh,Eluru,2025-05,11,0,0
Andhra Pradesh,Eluru,2025-06,20,3,0
Andhra Pradesh,Eluru,2025-07,10,0,1
Andhra Pradesh,Eluru,2025-08,13,3,0
Andhra Pradesh,Eluru,2025-09,16,1,1
Andhra Pradesh,Eluru,2025-10,25,2,1
Andhra Pradesh,Eluru,2025-11,24,3,2
Andhra Pradesh,Eluru,2025-12,12,0,0
Andhra Pradesh,Guntur,2025-01,161,26,0
Andhra Pradesh,Guntur,2025-02,337,48,1
Andhra Pradesh,Guntur,2025-03,169,27,1
Andhra Pradesh,Guntur,2025-04,105,17,0
Andhra Pradesh,Guntur,2025-05,253,18,1
Andhra Pradesh,Guntur,2025-06,220,33,2
Andhra Pradesh,Guntur,2025-07,118,10,0
Andhra Pradesh,Guntur,2025-08,256,32,0
Andhra Pradesh,Guntur,2025-09,178,20,0
Andhra Pradesh,Guntur,2025-10,281,32,1
Andhra Pradesh,Guntur,2025-11,200,28,2
Andhra Pradesh,Guntur,2025-12,200,19,1
Andhra Pradesh,Hyderabad,2025-01,111,28,0
Andhra Pradesh,Hyderabad,2025-02,180,50,0
Andhra Pradesh,Hyderabad,2025-03,107,30,0
Andhra Pradesh,Hyderabad,2025-04,66,20,0
Andhra Pradesh,Hyderabad,2025-05,58,18,0
Andhra Pradesh,Hyderabad,2025-06,49,16,0
Andhra Pradesh,Hyderabad,2025-07,52,15,0
Andhra Pradesh,Hyderabad,2025-08,104,42,0
Andhra Pradesh,Hyderabad,2025-09,120,28,0
Andhra Pradesh,Hyderabad,2025-10,125,37,0
Andhra Pradesh,Hyderabad,2025-11,138,34,0
Andhra Pradesh,Hyderabad,2025-12,91,29,0
Andhra Pradesh,K.V. Rangareddy,2025-01,1,0,0
Andhra Pradesh,K.V. Rangareddy,2025-04,1,0,0
Andhra Pradesh,K.V. Rangareddy,2025-07,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-01,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-02,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-03,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-04,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-05,4,1,0
Andhra Pradesh,K.V.Rangareddy,2025-06,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-07,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-08,2,2,0
Andhra Pradesh,K.V.Rangareddy,2025-09,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-10,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-11,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-12,2,1,0
Andhra Pradesh,Kakinada,2025-01,17,3,0
Andhra Pradesh,Kakinada,2025-02,30,4,0
Andhra Pradesh,Kakinada,2025-03,23,1,0
Andhra Pradesh,Kakinada,2025-04,9,0,2
Andhra Pradesh,Kakinada,2025-05,28,4,1
Andhra Pradesh,Kakinada,2025-06,14,5,1
Andhra Pradesh,Kakinada,2025-07,13,1,0
Andhra Pradesh,Kakinada,2025-08,26,3,1
Andhra Pradesh,Kakinada,2025-09,21,1,1
Andhra Pradesh,Kakinada,2025-10,27,4,4
Andhra Pradesh,Kakinada,2025-11,20,2,1
Andhra Pradesh,Kakinada,2025-12,23,2,1
Andhra Pradesh,Karim Nagar,2025-01,3,0,0
Andhra Pradesh,Karim Nagar,2025-02,2,1,0
Andhra Pradesh,Karim Nagar,2025-03,2,0,0
Andhra Pradesh,Karim Nagar,2025-04,2,1,0
Andhra Pradesh,Karim Nagar,2025-05,2,0,0
Andhra Pradesh,Karim Nagar,2025-06,3,0,0
Andhra Pradesh,Karim Nagar,2025-07,2,1,0
Andhra Pradesh,Karim Nagar,2025-08,2,0,0
Andhra Pradesh,Karim Nagar,2025-09,2,0,0
Andhra Pradesh,Karim Nagar,2025-10,1,0,0
Andhra Pradesh,Karim Nagar,2025-11,1,0,0
Andhra Pradesh,Karim Nagar,2025-12,3,0,0
Andhra Pradesh,Karimnagar,2025-01,14,6,0
Andhra Pradesh,Karimnagar,2025-02,23,6,0
Andhra Pradesh,Karimnagar,2025-03,19,3,0
Andhra Pradesh,Karimnagar,2025-04,15,4,0
Andhra Pradesh,Karimnagar,2025-05,10,1,0
Andhra Pradesh,Karimnagar,2025-06,14,1,0
Andhra Pradesh,Karimnagar,2025-07,8,3,0
Andhra Pradesh,Karimnagar,2025-08,28,5,0
Andhra Pradesh,Karimnagar,2025-09,18,5,0
Andhra Pradesh,Karimnagar,2025-10,20,5,0
Andhra Pradesh,Karimnagar,2025-11,20,5,0
Andhra Pradesh,Karimnagar,2025-12,21,4,0
Andhra Pradesh,Khammam,2025-01,35,13,0
Andhra Pradesh,Khammam,2025-02,37,17,0
Andhra Pradesh,Khammam,2025-03,18,18,0
Andhra Pradesh,Khammam,2025-04,21,9,0
Andhra Pradesh,Khammam,2025-05,12,2,0
Andhra Pradesh,Khammam,2025-06,27,7,0
Andhra Pradesh,Khammam,2025-07,16,1,0
Andhra Pradesh,Khammam,2025-08,30,17,0
Andhra Pradesh,Khammam,2025-09,30,10,0
Andhra Pradesh,Khammam,2025-10,36,11,0
Andhra Pradesh,Khammam,2025-11,33,13,0
Andhra Pradesh,Khammam,2025-12,34,7,0
Andhra Pradesh,Krishna,2025-01,118,14,1
Andhra Pradesh,Krishna,2025-02,316,29,0
Andhra Pradesh,Krishna,2025-03,168,6,1
Andhra Pradesh,Krishna,2025-04,100,6,0
Andhra Pradesh,Krishna,2025-05,147,20,1
Andhra Pradesh,Krishna,2025-06,167,17,4
Andhra Pradesh,Krishna,2025-07,83,8,0
Andhra Pradesh,Krishna,2025-08,209,26,1
Andhra Pradesh,Krishna,2025-09,194,17,0
Andhra Pradesh,Krishna,2025-10,193,14,4
Andhra Pradesh,Krishna,2025-11,157,20,2
Andhra Pradesh,Krishna,2025-12,144,23,0
Andhra Pradesh,Kurnool,2025-01,253,23,0
Andhra Pradesh,Kurnool,2025-02,445,48,0
Andhra Pradesh,Kurnool,2025-03,331,32,0
Andhra Pradesh,Kurnool,2025-04,162,18,2
Andhra Pradesh,Kurnool,2025-05,312,21,0
Andhra Pradesh,Kurnool,2025-06,294,26,3
Andhra Pradesh,Kurnool,2025-07,147,6,0
Andhra Pradesh,Kurnool,2025-08,346,28,1
Andhra Pradesh,Kurnool,2025-09,269,38,1
Andhra Pradesh,Kurnool,2025-10,283,19,1
Andhra Pradesh,Kurnool,2025-11,230,30,0
Andhra Pradesh,Kurnool,2025-12,263,24,0
Andhra Pradesh,Mahabub Nagar,2025-01,39,20,0
Andhra Pradesh,Mahabub Nagar,2025-02,45,23,0
Andhra Pradesh,Mahabub Nagar,2025-03,38,11,0
Andhra Pradesh,Mahabub Nagar,2025-04,25,10,0
Andhra Pradesh,Mahabub Nagar,2025-05,13,4,0
Andhra Pradesh,Mahabub Nagar,2025-06,28,13,0
Andhra Pradesh,Mahabub Nagar,2025-07,10,3,0
Andhra Pradesh,Mahabub Nagar,2025-08,44,16,0
Andhra Pradesh,Mahabub Nagar,2025-09,52,16,0
Andhra Pradesh,Mahabub Nagar,2025-10,46,13,0
Andhra Pradesh,Mahabub Nagar,2025-11,35,17,0
Andhra Pradesh,Mahabub Nagar,2025-12,31,12,0
Andhra Pradesh,Mahabubnagar,2025-03,1,0,0
Andhra Pradesh,Mahabubnagar,2025-11,1,0,0
Andhra Pradesh,Mahbubnagar,2025-01,19,7,0
Andhra Pradesh,Mahbubnagar,2025-02,27,12,0
Andhra Pradesh,Mahbubnagar,2025-03,15,3,0
Andhra Pradesh,Mahbubnagar,2025-04,16,7,0
Andhra Pradesh,Mahbubnagar,2025-05,5,3,0
Andhra Pradesh,Mahbubnagar,2025-06,15,8,0
Andhra Pradesh,Mahbubnagar,2025-07,3,2,0
Andhra Pradesh,Mahbubnagar,2025-08,20,10,0
Andhra Pradesh,Mahbubnagar,2025-09,15,2,0
Andhra Pradesh,Mahbubnagar,2025-10,25,8,0
Andhra Pradesh,Mahbubnagar,2025-11,16,5,0
Andhra Pradesh,Mahbubnagar,2025-12,17,0,0
Andhra Pradesh,Medak,2025-01,29,11,0
Andhra Pradesh,Medak,2025-02,76,13,0
Andhra Pradesh,Medak,2025-03,47,8,0
Andhra Pradesh,Medak,2025-04,25,2,0
Andhra Pradesh,Medak,2025-05,10,3,0
Andhra Pradesh,Medak,2025-06,33,6,0
Andhra Pradesh,Medak,2025-07,10,3,0
Andhra Pradesh,Medak,2025-08,54,8,0
Andhra Pradesh,Medak,2025-09,50,9,0
Andhra Pradesh,Medak,2025-10,43,5,0
Andhra Pradesh,Medak,2025-11,15,3,0
Andhra Pradesh,Medak,2025-12,34,8,0
Andhra Pradesh,N. T. R,2025-01,14,2,0
Andhra Pradesh,N. T. R,2025-02,32,6,0
Andhra Pradesh,N. T. R,2025-03,19,5,1
Andhra Pradesh,N. T. R,2025-04,12,2,1
Andhra Pradesh,N. T. R,2025-05,25,2,2
Andhra Pradesh,N. T. R,2025-06,16,3,3
Andhra Pradesh,N. T. R,2025-07,5,1,0
Andhra Pradesh,N. T. R,2025-08,16,2,1
Andhra Pradesh,N. T. R,2025-09,21,1,1
Andhra Pradesh,N. T. R,2025-10,19,1,1
Andhra Pradesh,N. T. R,2025-11,27,4,5
Andhra Pradesh,N. T. R,2025-12,24,6,2
Andhra Pradesh,Nalgonda,2025-01,32,6,0
Andhra Pradesh,Nalgonda,2025-02,42,10,0
Andhra Pradesh,Nalgonda,2025-03,40,10,0
Andhra Pradesh,Nalgonda,2025-04,22,6,0
Andhra Pradesh,Nalgonda,2025-05,17,6,0
Andhra Pradesh,Nalgonda,2025-06,30,6,0
Andhra Pradesh,Nalgonda,2025-07,14,4,0
Andhra Pradesh,Nalgonda,2025-08,37,9,0
Andhra Pradesh,Nalgonda,2025-09,29,7,0
Andhra Pradesh,Nalgonda,2025-10,31,8,0
Andhra Pradesh,Nalgonda,2025-11,17,8,0
Andhra Pradesh,Nalgonda,2025-12,35,16,0
Andhra Pradesh,Nandyal,2025-01,21,1,0
Andhra Pradesh,Nandyal,2025-02,38,1,1
Andhra Pradesh,Nandyal,2025-03,21,2,0
Andhra Pradesh,Nandyal,2025-04,5,0,1
Andhra Pradesh,Nandyal,2025-05,33,1,0
Andhra Pradesh,Nandyal,2025-06,29,2,0
Andhra Pradesh,Nandyal,2025-07,21,1,0
Andhra Pradesh,Nandyal,2025-08,27,0,0
Andhra Pradesh,Nandyal,2025-09,16,0,0
Andhra Pradesh,Nandyal,2025-10,26,0,0
Andhra Pradesh,Nandyal,2025-11,12,1,1
Andhra Pradesh,Nandyal,2025-12,12,4,0
Andhra Pradesh,Nellore,2025-01,128,21,0
Andhra Pradesh,Nellore,2025-02,238,41,0
Andhra Pradesh,Nellore,2025-03,133,27,0
Andhra Pradesh,Nellore,2025-04,71,9,0
Andhra Pradesh,Nellore,2025-05,132,20,0
Andhra Pradesh,Nellore,2025-06,139,24,1
Andhra Pradesh,Nellore,2025-07,79,12,0
Andhra Pradesh,Nellore,2025-08,126,20,0
Andhra Pradesh,Nellore,2025-09,113,15,0
Andhra Pradesh,Nellore,2025-10,107,30,0
Andhra Pradesh,Nellore,2025-11,97,27,0
Andhra Pradesh,Nellore,2025-12,113,22,0
Andhra Pradesh,Nizamabad,2025-01,11,2,0
Andhra Pradesh,Nizamabad,2025-02,19,2,0
Andhra Pradesh,Nizamabad,2025-03,18,0,0
Andhra Pradesh,Nizamabad,2025-04,12,0,0
Andhra Pradesh,Nizamabad,2025-05,8,1,0
Andhra Pradesh,Nizamabad,2025-06,9,6,0
Andhra Pradesh,Nizamabad,2025-07,8,0,0
Andhra Pradesh,Nizamabad,2025-08,17,4,0
Andhra Pradesh,Nizamabad,2025-09,10,3,0
Andhra Pradesh,Nizamabad,2025-10,12,2,0
Andhra Pradesh,Nizamabad,2025-11,16,5,0
Andhra Pradesh,Nizamabad,2025-12,10,6,0
Andhra Pradesh,Palnadu,2025-01,17,4,0
Andhra Pradesh,Palnadu,2025-02,21,7,1
Andhra Pradesh,Palnadu,2025-03,16,2,0
Andhra Pradesh,Palnadu,2025-04,8,2,0
Andhra Pradesh,Palnadu,2025-05,31,0,1
Andhra Pradesh,Palnadu,2025-06,29,2,1
Andhra Pradesh,Palnadu,2025-07,8,1,0
Andhra Pradesh,Palnadu,2025-08,18,3,1
Andhra Pradesh,Palnadu,2025-09,16,4,0
Andhra Pradesh,Palnadu,2025-10,21,2,2
Andhra Pradesh,Palnadu,2025-11,12,5,4
Andhra Pradesh,Palnadu,2025-12,7,1,0
Andhra Pradesh,Parvathipuram Manyam,2025-01,8,0,0
Andhra Pradesh,Parvathipuram Manyam,2025-02,23,1,0
Andhra Pradesh,Parvathipuram Manyam,2025-03,16,2,0
Andhra Pradesh,Parvathipuram Manyam,2025-04,5,0,0
Andhra Pradesh,Parvathipuram Manyam,2025-05,15,4,0
Andhra Pradesh,Parvathipuram Manyam,2025-06,15,0,0
Andhra Pradesh,Parvathipuram Manyam,2025-07,4,1,1
Andhra Pradesh,Parvathipuram Manyam,2025-08,13,1,0
Andhra Pradesh,Parvathipuram Manyam,2025-09,12,0,0
Andhra Pradesh,Parvathipuram Manyam,2025-10,17,1,0
Andhra Pradesh,Parvathipuram Manyam,2025-11,6,2,0
Andhra Pradesh,Parvathipuram Manyam,2025-12,9,1,0
Andhra Pradesh,Prakasam,2025-01,242,135,39
Andhra Pradesh,Prakasam,2025-02,282,57,0
Andhra Pradesh,Prakasam,2025-03,187,47,0
Andhra Pradesh,Prakasam,2025-04,95,22,3
Andhra Pradesh,Prakasam,2025-05,214,28,2
Andhra Pradesh,Prakasam,2025-06,185,40,1
Andhra Pradesh,Prakasam,2025-07,58,12,0
Andhra Pradesh,Prakasam,2025-08,198,47,1
Andhra Pradesh,Prakasam,2025-09,170,37,0
Andhra Pradesh,Prakasam,2025-10,193,39,0
Andhra Pradesh,Prakasam,2025-11,179,30,5
Andhra Pradesh,Prakasam,2025-12,182,45,0
Andhra Pradesh,Rangareddi,2025-01,45,8,0
Andhra Pradesh,Rangareddi,2025-02,77,18,0
Andhra Pradesh,Rangareddi,2025-03,41,16,0
Andhra Pradesh,Rangareddi,2025-04,33,8,0
Andhra Pradesh,Rangareddi,2025-05,38,14,0
Andhra Pradesh,Rangareddi,2025-06,20,9,0
Andhra Pradesh,Rangareddi,2025-07,16,8,0
Andhra Pradesh,Rangareddi,2025-08,41,15,0
Andhra Pradesh,Rangareddi,2025-09,48,10,0
Andhra Pradesh,Rangareddi,2025-10,47,11,0
Andhra Pradesh,Rangareddi,2025-11,45,10,0
Andhra Pradesh,Rangareddi,2025-12,41,18,0
Andhra Pradesh,Spsr Nellore,2025-01,1124,669,274
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,20,25,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,26,21,7
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,16,14,22
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,12,18,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,20,33,8
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,18,33,20
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,11,17,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,21,11,3
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,23,10,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,20,7,17
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,16,16,7
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,25,14,3
Andhra Pradesh,Sri Sathya Sai,2025-01,14,2,0
Andhra Pradesh,Sri Sathya Sai,2025-02,25,2,1
Andhra Pradesh,Sri Sathya Sai,2025-03,21,1,0
Andhra Pradesh,Sri Sathya Sai,2025-04,12,0,0
Andhra Pradesh,Sri Sathya Sai,2025-05,23,1,0
